70,TX,lit,Fri Jul 13 18:31:34 +0000 2018
71,NY,lit,Fri Jul 13 18:31:34 +0000 2018
72,TX,lit,Fri Jul 13 18:31:41 +0000 2018
73,TX,adulting,Fri Jul 13 18:31:57 +0000 2018
74,WI,adulting,Fri Jul 13 18:31:58 +0000 2018
75,CA,lit,Fri Jul 13 18:32:05 +0000 2018
76,PA,lit,Fri Jul 13 18:32:07 +0000 2018
77,PA,lit,Fri Jul 13 18:32:14 +0000 2018
78,TX,lit,Fri Jul 13 18:32:15 +0000 2018
79,MD,lit,Fri Jul 13 18:32:30 +0000 2018
80,TX,lit,Fri Jul 13 18:32:36 +0000 2018
81,PA,lit,Fri Jul 13 18:32:42 +0000 2018
82,IL,lit,Fri Jul 13 18:32:42 +0000 2018
83,MS,lit,Fri Jul 13 18:32:52 +0000 2018
84,MD,lit,Fri Jul 13 18:32:53 +0000 2018
85,TX,lit,Fri Jul 13 18:32:54 +0000 2018
86,OH,lit,Fri Jul 13 18:32:59 +0000 2018
87,OK,lit,Fri Jul 13 18:33:03 +0000 2018
88,TX,lit,Fri Jul 13 18:33:07 +0000 2018
89,CA,lit,Fri Jul 13 18:33:09 +0000 2018
90,NY,ratchet,Fri Jul 13 18:33:10 +0000 2018
91,CA,lit,Fri Jul 13 18:33:12 +0000 2018
92,PA,lit,Fri Jul 13 18:33:25 +0000 2018
93,TX,lit,Fri Jul 13 18:33:29 +0000 2018
94,CA,lit,Fri Jul 13 18:33:30 +0000 2018
95,FL,lit,Fri Jul 13 18:33:30 +0000 2018
96,WA,lit,Fri Jul 13 18:33:40 +0000 2018
97,PA,adulting,Fri Jul 13 18:33:48 +0000 2018
98,PA,lit,Fri Jul 13 18:33:58 +0000 2018
99,TX,lit,Fri Jul 13 18:34:03 +0000 2018
100,GA,lit,Fri Jul 13 18:34:03 +0000 2018
101,FL,lit,Fri Jul 13 18:34:03 +0000 2018
102,SD,lit,Fri Jul 13 18:34:08 +0000 2018
103,TN,lit,Fri Jul 13 18:34:08 +0000 2018
104,CA,lit,Fri Jul 13 18:34:11 +0000 2018
105,CO,lit,Fri Jul 13 18:34:18 +0000 2018
106,TX,lit,Fri Jul 13 18:34:27 +0000 2018
107,IA,lit,Fri Jul 13 18:34:32 +0000 2018
108,HI,lit,Fri Jul 13 18:34:40 +0000 2018
109,OR,lit,Fri Jul 13 18:34:49 +0000 2018
110,TX,lit,Fri Jul 13 18:34:52 +0000 2018
111,CA,lit,Fri Jul 13 18:35:02 +0000 2018
